reward,training_time,waiting_time,avg_queue_length
-1494,1425.119704,18056,5.015555555555555
-1523,1430.850106,17213,4.7813888888888885
-1597,1436.606474,17227,4.785277777777778
-1509,1442.479223,18295,5.081944444444445
-1498,1448.230253,17144,4.762222222222222
-1536,1453.993924,17055,4.7375
-1770,1459.872071,17518,4.8661111111111115
-1434,1465.582694,20496,5.693333333333333
-1629,1471.458448,16172,4.492222222222222
-1522,1477.30554,18647,5.179722222222222
-1505,1483.127066,17247,4.7908333333333335
-1617,1489.172332,16971,4.714166666666666
-1692,1494.984142,18817,5.226944444444444
-1541,1500.775849,19367,5.379722222222222
-1563,1506.578981,17556,4.876666666666667
-1550,1512.30169,17666,4.907222222222222
-1564,1518.163277,17550,4.875
-1522,1524.24601,17792,4.942222222222222
-1451,1529.933098,17308,4.807777777777778
-1475,1535.625357,16553,4.598055555555556
-1518,1541.429019,16810,4.669444444444444
-1538,1547.18797,17374,4.8261111111111115
-1578,1553.021949,17515,4.865277777777778
-1489,1558.797798,17920,4.977777777777778
-1518,1564.553106,16697,4.638055555555556
-1425,1570.372066,17228,4.785555555555556
-1420,1576.073261,16341,4.539166666666667
-1539,1581.827476,15998,4.443888888888889
-1479,1587.62348,17498,4.860555555555556
-1428,1593.313673,16635,4.620833333333334
-1574,1599.054191,16187,4.496388888888889
-1569,1604.943822,18002,5.000555555555556
-1676,1610.722336,17855,4.959722222222222
-1638,1616.52787,19122,5.3116666666666665
-1580,1622.365495,18619,5.171944444444445
-1542,1628.132494,17903,4.973055555555556
-1552,1633.961534,17593,4.8869444444444445
-1512,1639.719683,17507,4.8630555555555555
-1625,1645.449873,17173,4.770277777777777
-1683,1651.310151,18387,5.1075
-1472,1657.020101,19516,5.421111111111111
-1475,1662.777768,17017,4.726944444444444
-1676,1668.617874,16618,4.6161111111111115
-1445,1674.30465,19068,5.296666666666667
-1451,1680.099217,16350,4.541666666666667
-1440,1685.823675,16401,4.555833333333333
-1513,1691.615757,16204,4.501111111111111
-1596,1697.416658,17201,4.7780555555555555
-1510,1703.139124,18297,5.0825
-1503,1708.866103,16982,4.717222222222222
-1552,1714.68083,17168,4.768888888888889
-1555,1720.446632,17696,4.915555555555556
-1605,1726.195427,17558,4.877222222222223
-1640,1732.019185,18368,5.102222222222222
-1509,1737.680731,18737,5.204722222222222
-1478,1743.485234,17289,4.8025
-1436,1749.305518,16993,4.720277777777778
-1468,1755.069978,16280,4.522222222222222
-1446,1760.90981,16400,4.555555555555555
-1569,1766.680935,16361,4.544722222222222
-1397,1772.380916,17942,4.983888888888889
-1392,1778.198267,15607,4.335277777777778
-1504,1783.947827,15539,4.316388888888889
-1444,1789.669845,17190,4.775
-1523,1795.483393,16642,4.622777777777777
-1404,1801.267232,17248,4.791111111111111
-1568,1807.031694,15878,4.410555555555556
-1450,1812.838747,17899,4.9719444444444445
-1479,1818.542385,16350,4.541666666666667
-1451,1824.196732,16782,4.661666666666667
-1397,1830.011743,16462,4.572777777777778
-1411,1835.796003,15775,4.381944444444445
-1496,1841.692746,16185,4.495833333333334
-1452,1847.376342,17022,4.7283333333333335
-1492,1853.132894,16506,4.585
-1361,1858.902888,16821,4.6725
-1527,1864.682859,15255,4.2375
-1478,1870.452549,17444,4.845555555555555
-1476,1876.251464,16594,4.609444444444445
-1473,1882.1033,16933,4.703611111111111
-1486,1887.888511,16709,4.641388888888889
-1395,1893.639188,16995,4.720833333333333
-1440,1899.382956,15894,4.415
-1523,1905.340237,16235,4.509722222222222
-1367,1911.011983,17322,4.8116666666666665
-1406,1916.762167,15412,4.2811111111111115
